Job Title,Company,Location,Job Level,Salary,Job Description
Receptionist,Gen Z Global Education And Visa Services,"Baluwatar 04, Kathmandu",Mid Level,"NRs. 17,500 - 25,000 Monthly","Front Desk & Client Handling – Greet visitors, answer calls, respond to inquiries, and schedule student appointments.Social Media Management – Handle Facebook, TikTok, and Instagram, create engaging content, respond to messages, and run basic promotions.Application & Documentation Support – Assist students in creating HAP ID, booking VFS appointments, and preparing necessary documents.Communication & Coordination – Liaise with universities, embassies, and students, ensuring smooth application and visa processing.Office Management – Maintain records, organize files, and ensure the reception area is professional and welcoming.Event & Marketing Support – Assist in planning seminars, workshops, and promotional activities to attract students."
General Manager,Vyas Retreat,Pokhara,Senior Level,Not Disclosed,"Oversee the daily operations of the hotel and wellness center, ensuring smooth coordination between departments.Develop and implement standard operating procedures (SOPs) across all departments.Hire, train, and manage staff, ensuring a high standard of service.Ensure guest satisfaction by maintaining high standards of cleanliness, service, and hospitality.Manage budgeting, financial reporting, and cost control measures.Coordinate with Ayurveda doctors, therapists, and wellness professionals to maintain the integrity of Panchakarma treatments.Implement marketing and sales strategies to attract wellness travelers.Ensure compliance with local regulations and health and safety protocols.Utilize spreadsheets and software for efficient data management, reservations, and reporting.Maintain a positive, health-conscious environment aligned with Ayurvedic and Vedic principles."
Speech Therapists,Laligurans Child Development Center,"Children's Center, Kathmandu",Mid Level,"NRs. 90,000 - 120,000 Monthly",Assess speech and language development in children.Create and implement therapy plans.Conduct individual and group therapy sessions.Collaborate with parents and other professionals.
Rostering Coordinator,Aligned Community Care,"Dhapasi Height, Kathmandu",Not found,Not found,Not found
Highway Engineer / Bridge Engin…,China First Highway Engineering Company,"Hetauda 18, Furkechaur",Senior Level,Not Disclosed,"Communicate with stakeholders, clients, and team members to gather project requirementsConduct research and analysis to develop innovative design solutions for bridges and roadsUse AutoCAD and other design software to create detailed construction plansMonitor project progress and ensure compliance with project specifications and standardsCoordinate with other engineers, architects, and contractors to ensure successful project executionAnalyze data and test results to make necessary design modificationsPrepare and present progress reports to management and clientsConduct site visits and inspections to ensure compliance with design plansBudget management and cost control for project executionLead and mentor junior engineers on design concepts and project management strategies"
Area Sales Manager (ASM/SM),Nepal MegaSoft Trading,"Gandaki Province

                                    ,
                                
                                    Bagmati Province

                                    ,
                                
                                    Lumbini Province

                                    ,
                                
                                    Koshi Province",Senior Level,Not Disclosed,Develop and execute market entry and expansion strategies for assigned regions.Strengthen product coverage and ensure increased market penetration.
Montessori Teacher,Texas Int'l Secondary School,"Mitrapark, Chabahil, Kathmandu",Mid Level,Not Disclosed,"Develop and implement a comprehensive Montessori curriculum that aligns with the school's educational goals and standards.Create a well-organized and inviting classroom environment that encourages exploration and discovery.Recognize and respond to the individual needs and learning styles of each student.Establish and maintain open communication with parents regarding students' progress, challenges, and achievements.Stay informed about current trends and best practices in Montessori education.Collaborate with other teachers and staff to create an integrated and cohesive learning environment."
Cluster Manager Trainee,Big Mart,"Kathmandu, Nepal",Mid Level,Not Disclosed,Reporting to: Operations ManagerLocation: Multiple Store Locations (Cluster- Based)
Lower Secondary Level  Teacher,Kathmandu Meridian School,"Janamarga, Bansbari, Kathmandu",Mid Level,Not Disclosed,Plan and deliver engaging and effective lessonsAssess students' progress and provide necessary guidanceEncourage interactive and student-centered learning methodsMaintain discipline and create a positive classroom environmentCoordinate with the school administration and participate in meetings/training sessions
Sales Representative,Chinifoods Nepal,"Samakhusi, Kathmandu",Not found,Not found,Not found
IT Associate,Team Quest,"QFX Head Office, Team Quest, LABIM - Pulchowk, Lalitpur",Mid Level,Not Disclosed,"Inquisitive about hardware, network and system administrationFits in a modern and inclusive work culture"
Secondary Math Teacher,Texas Int'l Secondary School,"Mitrapark, Chabahil, Kathmandu",Mid Level,Not Disclosed,Develop and implement effective lesson plans for teaching math at the secondary level Create a positive and interactive learning environment to engage students Use a variety of teaching methods to cater to different learning styles Assess and track students' progress and provide timely feedback Collaborate with colleagues to develop and improve the math curriculum Encourage critical thinking and problem-solving skills in students Communicate with parents and guardians about students' progress Participate in faculty meetings and professional development sessions
Marketing Trainee,Akasha Life,"Suntakhan-3, Gokarneshwor",Entry Level,Not Disclosed,"Develop and implement a branding and marketing strategy for health-conscious food itemsDevelop and manage online marketing materialsDevelop social media content tailored to the target audience and manage accounts regularlyEnhance and innovate bakery products and activities to expand outreachIdentify, contact, and maintain relationships with new and potential customersResearch and participate in relevant exhibitions, food fairs, and farmers’ marketsSupport in the execution of seasonal and festive promotions of the bakery"
IT Assistant,iDream Technologies,"Thapathali, Kathmandu",Entry Level,Not Disclosed,"Administer/ manage the deployment, monitoring, maintenance, development, upgrade, and support of IT systemWindows, Hyper-V, VMware server and office 365 administrationFirewall and Networking devices monitoring and management User desktop, laptop, printer, scanner maintenance and troubleshootingInstalling, configuring and troubleshooting various hardware and software components Providing technical support to various corporate customers"
Sales Executive,iDream Technologies,"Thapathali, Kathmandu",Entry Level,Not Disclosed,"Respond to sales inquiries and onboard new customersGet updated on product and service knowledge  Prepare quotations, bid and tender documentsDevelop, maintain and proactively utilize customer databaseDocument sales invoices and follow-up the payment receiptsDesign and Develop sales activities based on social mediaPrepare sales activity and reportsEnsure customer satisfaction and maintain client relationship"
Sr.Admin Officer,Ace Enterprises,"Kathmandu, Nepal",Senior Level,Not Disclosed,Prepare a quotation to our customer based on their inquiries.Prepare letters for the bid submission / proposal as per requirement /tender document of customer.Prepare Purchase order to our principal company as per the requisite of our customer and place the order.
Account Officer,Lomus Digital,"Gairidhara, Subarna Shamsher Marg",Senior Level,Not Disclosed,"Document financial transactions by analysing documents and raising vouchers along the knowledge of taxation systems.Preparation of vouchers and entry into the system while complying with government policy by studying existing and new legislation.Enforcing adherence to requirements and advising management on needed actions.Handle general account queries, check invoices for inaccuracies and budgeting, finance, planning, handling tax matters and annual budget preparation.Prepares special financial reports by collecting, analysing and summarising account information and trends.Contact clients about invoices that are past due while maintaining records of business costs, such as labour & material.Payable management and scheduling."
Architect,Shree Bisaj Construction and Consultancy,"Balaju, Kathmandu",Mid Level,Not Disclosed,"Create 3D models and architectural designs using SketchUp, Lumion, and EnscapeDevelop realistic visualizations and renderings for projectsWork closely with the design team to bring concepts to lifeEnsure accuracy and attention to detail in architectural plansCollaborate with clients and stakeholders for project success"
Video Creator,ThemeGrill,"Basundhara-3, Kathmandu",Mid Level,Not Disclosed,"Test and understand our various WordPress plugins and
themes. Write out video scripts, voice over/record those scripts. Edit videos as per the individual’s standard procedure. Examples of a few types of videos: https://youtu.be/jbiBJdowxG0 – Tutorials https://youtu.be/g3rifl7kWvg – Feature videos. https://youtu.be/qnCL_Fs8oxY – Documentation videos"
Accounts And Store Incharge,Mountain Infra Company,"Sankhuwasabha, Kasuwa",Mid Level,Not Disclosed,"Maintain accurate financial records and ensure
     compliance with accounting principles.Handle accounts payable and receivable, including
     invoicing and vendor payments.Prepare financial reports, balance sheets, and profit
     & loss statements.Monitor cash flow, bank transactions, and
     reconciliations."
Receptionist,Nepal Hearing and Speech Clinic,"Thapathali, Kathmandu",Mid Level,Not Disclosed,"Greet and welcome patients and visitors in a professional and friendly mannerAnswer and direct phone calls to the appropriate department or staff memberSchedule appointments and maintain the clinic's appointment calendarCollect and process patient information and paymentsMaintain and update patient records and filesAssist with administrative tasks such as filing, faxing, and data entryMonitor and order office supplies as neededEnsure the reception area is clean and organized at all timesCollaborate with other staff members to ensure efficient and effective operationsUphold the clinic's confidentiality and privacy policies"
Basic Level Computer Teacher,Texas Int'l Secondary School,"Mitrapark, Chabahil, Kathmandu",Mid Level,Not Disclosed,"Plan and deliver well-structured computer science lessons in accordance with the school's curriculum.Utilize a variety of teaching methods to accommodate different learning styles and ensure student understanding.Integrate relevant and up-to-date technology resources into the curriculum to enhance the learning experience.Create and maintain a positive and inclusive classroom environment that encourages student participation and collaboration.Assess and evaluate student progress through assignments, projects, and examinations.Provide constructive feedback to students to support their academic and personal development.Stay current with advancements in technology and incorporate new trends into the curriculum.Collaborate with fellow teachers and school staff to enhance interdisciplinary learning opportunities.Participate in professional development activities to continually enhance teaching skills and knowledge.Foster a love for learning and an appreciation for technology among students."
Computer Operator,Kathmandu Vidya Kunja Secondary School,Tokha,Entry Level,Not Disclosed,"Maintain computer systems and network.
Input and manage student/staff data.
Provide basic technical support.
Manage school records and documents.
Assist with document preparation and archiving.
Manage equipment inventory."
Primary In-Charge,A Reputed School,Tokha,Mid Level,Not Disclosed,"Ensure that your department teachers design and implement appropriate lesson plans for a comprehensive class curriculum.Provide leadership, motivate and encourage staff to perform their responsibilities effectively and efficiently.Encourage department teachers to use technology to supplement and enhance classroom activities.Ensure that teachers are assessing and improving their students' progress in learning and behavior.Assess and record department teacher performance, as well as support in their improvement.Maintain effective communication with students, staff and parents.Coordinate with other department heads and assist in any school-wide events."
Mechanical Engineer – Automobile,Mountain Infra Company,Any Place in Nepal,Mid Level,Not Disclosed,"Providing
Technical Support for construction, Heavy Duty Vehicles.Leading
Site's WorkshopLeading
the Maintenance and servicing team.Log
Sheet Maintenance, and preparation of Monthly Report.Maintenance
of Equipment Expenses Report.Proper
Record of Vendors Contact Number.Proper
Record of Local Mechanics and Garage Contact Number (Kathmandu).Record
of Equipment operator numbers.Preparing
mechanical purchase order and controlling Inventory."
Customer Moderator,Yodha,"Kathmandu, Nepal",Entry Level,Not Disclosed,"Translate and interpret written consultations from Roman Nepali to English, and vice versa, ensuring an accurate and precise conveyance of information to the customer.Serve as a liaison between English-speaking customers and Roman Nepali-speaking astrologers, ensuring effective communication and understanding.Create high-quality interpretations of astrological consultations, maintaining a professional and respectful tone.Provide exceptional customer service, addressing inquiries, concerns, and feedback promptly and professionally."
Finance Manager - Manufacturing…,Godawari Business Organization,"Rautahat, Chapur",Top Level,Not Disclosed,"Supervise and manage daily financial operations
     including budgeting, accounting, and financial reporting.
Ensure accuracy and integrity of financial data and
     timely preparation of financial statements.
Develop and manage annual budgets and financial
     forecasts.
Monitor budget performance and provide
     recommendations for adjustments as needed.
Prepare comprehensive financial reports for the CEO,
     Chairman, and Board of Directors.
Analyze financial data to identify trends,
     variances, and areas for improvement.
Support the development and execution of financial
     strategies that align with the company's strategic goals.
Provide financial insights and recommendations to
     aid in strategic decision-making.
Monitor and control operational costs to enhance
     profitability.
Implement cost-saving initiatives and process
     improvements.
Identify financial risks and develop strategies to
     mitigate them.
Ensure compliance with financial regulations and
     internal controls.
Lead and manage the finance team, ensuring high
     performance and professional development.
Foster a collaborative and productive work
     environment.
Communicate financial performance and strategies
     clearly to the CEO, Chairman, and Board of Directors.
Liaise with external auditors, financial
     institutions, and regulatory bodies as necessary.
Oversee evaluation of investment opportunities and
     financial projects.
Ensure optimal use of company resources to achieve
     financial objectives.
Continuously evaluate and enhance financial
     processes and systems.Implement best practices to improve financial
management and operational efficiency"
Dispatch And Delivery Person,Jay Saibaba Surgical House,"Pepsicola-32, Kathmandu",Mid Level,Not Disclosed,Safely and efficiently operate a 2-wheel vehicle to deliver goods and products to customersPlan and prioritize daily delivery routes to ensure timely and accurate deliveriesLoad and unload goods and products from the vehicleVerify and confirm delivery details with customersCollect payments from customers and maintain accurate recordsCommunicate any delivery delays or issues to the appropriate partiesFollow all safety procedures and traffic laws while drivingMaintain the cleanliness and maintenance of the delivery vehicleDelivering Logistic Management Assist with other warehouse duties as needed
Receptionist,S. Sankalpa Shipping Services,"Kathmandu, Nepal",Mid Level,Not Disclosed,"Greet and assist visitors in a professional manner.Handle incoming calls, emails, and inquiries.Maintain front desk operations and ensure a welcoming environment.Manage appointments and schedule meetings.Assist with basic administrative tasks as required."
Associate Officer - IT,Kathford College of Engineering and Management,"Balkumari, Lalitpur",Mid Level,Not Disclosed,"Prepare IT department’s plan and supervise the implementation of plan.Provide technical support including Hardware, software and Network for Staffs and Computer Labs across college.Install and configure computer hardware operating systems and applications.Monitor and maintain computer systems and networks. Support to setup of systems or fix systems-related issues.  Device continuous monitoring of IT systems and make periodic maintenance and upgrade plans.Troubleshoot system and network problems, diagnose and solve hardware or software and replace parts as required. Provide support, including procedural documentation and relevant reports.Support the roll-out of new applications as per the need.Conduct electrical safety checks on computers and equipment. Work with vendors to obtain pricing and parts, and perform quality checks of delivered equipment.Maintain inventory of computers and equipment, maintain the warranty, service, and repair record.Maintain the organization’s email system(s)."
Client Service Executive (Night…,B. And B. Soft Tech Kathmandu,Remote,Entry Level,"NRs. 30,000 Monthly","Process applications on behalf of the clients from submission to settlement for our clients in the USACommunicate with other organizations on behalf of the clientProvide excellent customer serviceEnter data with high accuracy, keeping attention to the details dailyMaintain constant communication with supervisorTake additional responsibilities as and when required."
Marketing Intern,S. Sankalpa Shipping Services,"Kathmandu, Nepal",Entry Level,Not Disclosed,Assist in developing and implementing marketing strategies.Conduct market research and analyze trends.Support social media management and content creation.Assist in organizing promotional campaigns and events.Coordinate with the marketing team for day-to-day activities.Prepare reports and presentations on marketing performance.
Sales Executive,Mad Ads Agency,Kathmandu,Mid Level,"NRs. 20,000 - 25,000 Monthly",Identify and target potential clients for digital marketing services.Generate and follow up on leads to secure business deals.Develop customized sales pitches and presentations based on client needs.
Program Officer - Alumni And Pu…,Women LEAD Nepal,"Bakhundole, Lalitpur",Not found,Not found,Not found
Civil Engineer,Realpath Engineering Consultancy,"Gwarko, Kathmandu",Entry Level,"NRs. 20,000 - 30,000 Monthly","Assist in the planning, design, and execution of Transportation Engineering projectsUtilize ArcGIS and Civil 3D for data analysis and project developmentConduct site visits, surveys, and feasibility studiesPrepare technical reports and drawingsCollaborate with multidisciplinary teams to ensure project success"
Secondary Level Mathematics Tea…,Babylon National School,"Kathmandu, Nepal",Mid Level,Not Disclosed,"Teach Optional and Compulsory Mathematics to secondary-level students.Develop structured lesson plans aligned with the school curriculum.Create an engaging and student-centered learning environment.Assess and evaluate students through assignments, tests, and exams.Provide academic support to students, including extra classes if needed.Maintain discipline and classroom management as per school guidelines.Collaborate with other teachers for curriculum development and school events.Communicate effectively with parents regarding student progress and performance."
Pre-school Coordinator,Gyan Sanskar International School,Samakhusi Chowk,Mid Level,Not Disclosed,"Plans, organizes and implements the progressive learning curriculum program aligning with organizational mission and visionReview, update, and insure implementation of the curriculum in classrooms to meet required
standards and the individual needs of preschool childrenProvide guidance to teachers and staffs in building skills and competenceEnsure proper implementation of school calendar, daily routine and other day-day-activitiesMonitor and track student progressMaintain relationships with parents and legal guardians of students in order to keep them informed of their child’s progressCollaborate with other teachers in order to share best practices and provide meaningful feedback regularly"
Office Admin/ Secretary,Tech World Distribution,"Pako Newroad, Kathmandu",Mid Level,"NRs. 20,000 - 40,000 Monthly","Composing and sending business letter, memos and email.Making proper record of PDC Cheque in system.Regulary followup the client regarding the payment and product.Preparing and delivering PowerPoint Presentation.Preparing official reports.Preparing necessary document required for imports.Coordinating with logistics company for the delivery and tracking of the goods.Maining proper record of the customer leddger."
Primary / Pre-Primary Grade Tea…,Gyan Sanskar International School,Samakhusi Chowk,Mid Level,Not Disclosed,"Develop interactive and creative course material and lesson plansImplementation of the curriculum in classrooms to meet required standards and the individual needs of childrenOrganize classroom as well as learning resources to develop a positive learning atmosphereMonitor, track, and provide proper guidance for individual student progressCollaborate with other teachers to share best practices and provide meaningful feedback regularlyMaintain relationships with parents and legal guardians of students to keep them informed of their child’s progressOrganising field trips, events, and extracurricular activities"
Primary Level Math/Science Teac…,Babylon National School,"Kathmandu, Nepal",Mid Level,Not Disclosed,"Teach Mathematics and Science to primary-level students in an engaging and interactive manner.Develop lesson plans, instructional materials, and activities that meet the school curriculum.Foster a positive and inclusive learning environment for students.Assess and evaluate students’ progress through assignments, tests, and exams.Encourage student participation and critical thinking in the classroom.Maintain discipline and classroom management following school guidelines.Collaborate with fellow teachers and school staff for curriculum development and extracurricular activities.Communicate effectively with parents and guardians regarding students' progress and concerns."
Primary Level Nepali Teacher,Babylon National School,"Kathmandu, Nepal",Mid Level,Not Disclosed,"Responsible for teaching Nepali subject to primary level studentsMotivate students with enthusiastic, imaginative presentationMaintain discipline in the classroomOrganizing the classroom and learning resources to create a positive learning environmentCommunicates effectively, both orally and in writing, with students, parents, and other professionals on a regular basisKeeping up to date with changes and developments in the structure of the curriculumTaking responsibility for the progress of a classTo ensure that all lessons are planned with clear aims and objectivesPerform other duties as assigned"
Grade Teacher,Babylon National School,"Kathmandu, Nepal",Mid Level,Not Disclosed,"Teach and mentor students at the assigned grade level.Develop and implement lesson plans based on the school curriculum.Create an engaging and interactive learning environment.Assess and evaluate students’ academic performance and progress.Maintain discipline and a positive classroom atmosphere.Communicate with parents and guardians regarding students’ progress.Participate in school meetings, training, and extracurricular activities."
Lower Secondary Computer Teacher,Babylon National School,"Kathmandu, Nepal",Mid Level,Not Disclosed,Candidates should teach computer to different gradesPrepare activity based lesson plans and execute accordingly in the classPrepare question papers and submit it to in chargeEquip the students with full knowledge of practical implementation of computer in daily lives Design and develop appropriate computer instructional materialManage and monitor student behaviorDevelop and implement lesson plans and classroom activities inconsistent with the student management issuesCreate lesson plans that are appropriate for the age and abilities of the students in the class
Middle School English Teacher,Brihaspati Vidyasadan,"Naxal, Kathmandu",Mid Level,Not Disclosed,"Including thematic/integrated approaches to organizing teaching-learning activities while fostering creativity while learning.Using art, research, extra reading and a variety of activities into lesson delivery as much as possible.Following up on a variety of learning activities with adequate planning that includes assessment strategies.Encouraging the curiosity and participation of students in all teaching-learning activities.Demonstrating a strong command over the subject matter and its relevance to real life situations. Recording students’ behaviors/skills/strengths/ weaknesses through thorough documentation. Initiating interaction with students – developing a positive relationship with students without appearing biased to anyone while providing accurate, timely, and specific feedback to all.Conducting continuous assessments and preparing standard report cards/observation reports to share with parents.Actively communicating with parents on the progress of their child along with any challenges/achievements they may have experienced."
Front Desk Officer,SK Ventures,Kathmandu,Mid Level,"NRs. 20,000 - 25,000 Monthly",Answer and direct phone calls in a polite and friendly mannerTake messages and communicate to appropriate employees.Greet visitors and escort them to the appropriate office or person as required.Respond to visitor’s questions professionally and courteously.Maintain reception area and all common areas in a clean and tidy manner.Inspecting daily cleaning checklist and ensuring to make it done.Take inventory of stationery supplies and restock as needed.Provide basic and accurate information in-person and via phone/email.Ensure all customer interactions are conducted with a high level of professionalism and service orientation.
Vice Principal,Sathya Sai Shiksha Sadan,"Tokha, Kathmandu",Senior Level,"NRs. 60,000 - 70,000 Monthly","Support the Principal in supervising and coordinating the academic, administrative and co-curricular activities of the school. Oversee curriculum development and design, ensuring alignment with current educational standards.Supervise and mentor teachers, providing support and guidance to enhance their teaching methods and classroom management.Collaborate with the school's administrative team to ensure efficient and effective operations.Plan and coordinate various school events and programs, such as parent-teacher conferences and extracurricular activities.Review and analyze student data to identify areas for improvement and implement necessary interventions.Serve as a liaison between the school, parents, and the community to maintain open communication and foster positive relationships.Conduct regular staff evaluations and provide feedback for continuous growth and improvement.Assist in the recruitment and hiring process for new teachers and staff members.Handle disciplinary issues and provide guidance to students in alignment with the school's policies and values."
Grade Teacher,Sathya Sai Shiksha Sadan,"Tokha, Kathmandu",Mid Level,"NRs. 25,000 - 35,000 Monthly","Responsible for teaching students in Primary level (Grades 1-3) according to the curriculum guidelines.Plan, prepare and deliver well-structured lessons that engage and motivate students.Implement a variety of teaching methods to accommodate different learning styles and abilities.Use an integrated thematic pedagogy approach to create a dynamic and interactive learning environment.Assess and evaluate student progress through regular assignments, quizzes, and tests.Provide timely feedback to students and parents on academic performance.Collaborate with other teachers and staff to develop and implement school-wide initiatives.Monitor and track student attendance, behavior, and academic progress.Create a positive classroom culture and promote good behavior and discipline.Participate in school events, meetings, and professional development sessions."
Assistant Manager - Finance / A…,Avinash Group,"Chitwan

                                    ,
                                
                                    Kathmandu

                                    ,
                                
                                    Sunsari (Laukahi)",Senior Level,Not Disclosed,"Assist in preparing financial statements, including balance sheets, profit and loss accounts, and cash flow statements.Perform monthly and quarterly financial reconciliationsSupport in the preparation of tax returns and compliance with tax regulationsAssist in audits including reviewing internal controls and processesAnalyze financial data and prepare reports to help in decision makingLiaise with stakeholders, clients and assist in providing financial advice.Manage accounts payable and receivable processes.Assist in preparation of Management reports and budgets.Coordinate with tax, auditors and bank authorities as & when necessary."
Receptionist / Messenger,Modern Cleaning and Servicing,"Uttar Sadak, Balkumari-9, Lalitpur",Mid Level,Not Disclosed,"Greet and welcome visitors, clients, and employees in a professional manner.Answer, screen, and forward incoming phone calls and emails.Maintain a tidy and presentable reception area.Schedule appointments, meetings, and conference room bookings.Handle inquiries and provide basic information about the company’s services.Assist in administrative tasks such as data entry, filing, and correspondence.Receive and distribute incoming mail and packages."
M & E Associate,National Association of HIV/AIDS in Nepal (NAP+N),"Jhapa, Palpa",Not found,Not found,Not found
Documentation Officers,HRN Group & Management Company,"Bishalnagar

                                    ,
                                
                                    Dhumbarahi

                                    ,
                                
                                    Hadigaun Marga",Mid Level,"NRs. 25,000 - 30,000 Monthly","Ensure compliance with Japanese regulations for documentation and travel.Prepare, verify, and submit official paperwork.Coordinate with clients, vendors, and internal teams.Provide administrative support (filing, scanning, record-keeping).Communicate with Japanese authorities and consular offices.Maintain document security and confidentiality.Be flexible for travel as needed.Stay updated on regulation changes.Manage documentation for travel, visas, and permits."
Project Officer (PO),National Association of HIV/AIDS in Nepal (NAP+N),"District Office (Jhapa, Morang, Arghakhanchi, Gulmi, Palpa,…",Not found,Not found,Not found
Admin / Finance Associate (AFA),National Association of HIV/AIDS in Nepal (NAP+N),"Jhapa, Palpa",Mid Level,Not Disclosed,"Assist to collect financial reports from the district level staff and compile the sources of documents and sent it to Central Office.Assist to finance officer to review financial documents received, Assist to establish and maintain supplier accounts, Assist to Collect and compile all the Advance Request forms and settlement form and sent it to Central office for the further processing.Assist for managing the office equipment like timely repair, dispose etc. Assist to necessary arrangement for timely settlement of advances,Assist to Finance Manager to Prepare Finance Report to donors or others,Keep and maintain the files of all field level documents,Keep the Bank Statements, VAT bills, Contract Paper, and Agreement with donor or with partners in Place,Financial tasks should be carry out assign by Finance Officer,Any other job assigned as per program need."
Assistant / Customer Service Of…,Amravati,Kathmandu,Entry Level,Not Disclosed,Assistant / Customer Service Officer – AirportAssistant / Customer Service Officer – Air Cargo
Interns,Amravati,"Kathmandu, Nepal",Entry Level,Not Disclosed,"Location: Kathmandu, Nepal (with the possibility of transfer as required)Internship Duration: 2 years (Paid)Education: Minimum 12th grade pass (any discipline)Experience: No prior experience required"
Assistant Procurement and Logis…,Manaram Group,"Birtamod, Jhapa",Mid Level,"NRs. 60,000 Monthly","Designation: Assistant Procurement & Logistics ManagerReports to: Procurement & Logistics ManagerLocation: Birtamod, Jhapa, NepalShift: Standard (09:00 AM to 05:00 PM), Sunday to Friday"
Documentation Officer,Skyways Bureau Services,"Kathmandu, Nepal",Mid Level,"NRs. 17,500 - 30,000 Monthly","Manage and organize company documents, records, and files systematically.Maintain an up-to-date document control system to ensure easy retrieval of information.Handle document classification, storage, and security to protect sensitive information.Ensure compliance with company policies and regulatory requirements for document management.Review and verify the accuracy of documents before processing and filing.Coordinate with different departments to collect, store, and distribute essential records.Assist in preparing reports, presentations, and official documentation.Monitor document expiration dates and ensure timely renewal of legal and contractual documents.Support internal and external audits by providing necessary records and documentation.Perform other administrative duties as assigned."
Computer Science Teacher,Sathya Sai Shiksha Sadan,"Tokha-3, Kathmandu",Mid Level,"NRs. 25,000 - 35,000 Monthly","Develop and implement lesson plans and instructional materials for basic and secondary level studentsTeach computer science concepts and skills, such as programming languages, coding, and algorithms, to studentsIncorporate real-world examples and case studies to illustrate and enhance learning Use a variety of teaching techniques and strategies to engage and motivate students Assess students' progress and provide feedback to help them improve their skills Provide extra help and support to struggling students as needed Collaborate with other subject teachers to integrate computer science concepts into other subject areas Participate in professional development opportunities to stay updated with new technologies and teaching methods Maintain accurate records of students' attendance, grades, and progress Communicate with parents and guardians regularly to discuss their child's progress"
Project Coordinator,Jade Infra,Head Office with frequent project site visits,Senior Level,Not Disclosed,"Provide Technical Support and assistance to Site TeamScheduling meetings, managing documents, and preparing reports for the project manager and stakeholders.Liaison between the project team, stakeholders, and management, ensuring everyone is informed and on the same page.Assist in creating and maintaining project plans, schedules, and budgets, and track progress against milestones.Resource allocation, ensuring the right people and resources are available when needed.They identify potential problems and risks, and work with the project manager to find solutions.They maintain detailed records of project activities, decisions, and progress. Project Scheduling, Planning, Reporting"
Sales Executive,Sugam Group,Bhairahawa,Entry Level,"NRs. 20,000 - 30,000 Monthly","Generating business leads from the cold call, existing database, through references, existing clients, etc, identify potential prospects and contact them for meetings clients promoting company’s express / FTL/LTL transportation business in the assigned portfolio and geography. Develop and implement strategic sales plans to achieve company objectivesIdentify and pursue new business opportunities through market research and networkingBuild and maintain strong relationships with clients and partnersMonitor and analyze sales data to identify trends and opportunities for improvementTrain and mentor sales team members to ensure high performance and productivityCollaborate with other departments to ensure a cohesive and effective sales strategyPrepare and present sales reports and forecasts to senior managementParticipate in industry events and conferences to represent the company and promote our products/servicesStay updated on industry trends and competitors' activities to inform sales strategiesMeet and exceed sales targets and KPIs set by the company"
Sales Girl,Bonjour Cosmetics and Fragrances Nepal,"Durbarmarg, Kathmandu",Mid Level,"NRs. 20,000 - 22,000 Monthly","Greet and assist customers in a friendly and professional manner.Provide expert advice on skincare, makeup, and beauty products.Demonstrate product usage and recommend suitable cosmetics based on customer needs.Maintain store cleanliness, organize product displays, and ensure stock is well-arranged.Achieve sales targets and promote new arrivals or special offers.Handle customer inquiries and complaints efficiently.Process sales transactions and manage cash or digital payments."
